epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3120.65,0.26708,0.31086,0.98237,0.99721,0.99474,0.995,0.99004,0.15088,0.15906,0.82733,0.00010729,0.00010729,0.00010729
90,3156.3,0.26882,0.3171,0.97953,0.99691,0.99875,0.995,0.9907,0.14398,0.15072,0.82165,9.90437e-05,9.90437e-05,9.90437e-05
91,3192.85,0.1758,0.2858,0.87812,0.99282,0.9939,0.995,0.98849,0.15122,0.17004,0.82153,9.0797e-05,9.0797e-05,9.0797e-05
92,3227.01,0.16177,0.24339,0.87654,0.99279,0.99386,0.995,0.9888,0.14907,0.16418,0.8133,8.25503e-05,8.25503e-05,8.25503e-05
93,3262.2,0.15396,0.21822,0.87555,0.99749,1,0.995,0.99137,0.145,0.14967,0.80962,7.43036e-05,7.43036e-05,7.43036e-05
94,3297.22,0.14417,0.2145,0.86436,0.99691,1,0.995,0.99172,0.13814,0.14674,0.80675,6.60569e-05,6.60569e-05,6.60569e-05
95,3332.24,0.14357,0.22289,0.85931,0.9957,1,0.995,0.99123,0.13878,0.14546,0.80808,5.78102e-05,5.78102e-05,5.78102e-05
96,3368.29,0.13769,0.20103,0.8704,0.99698,1,0.995,0.99303,0.13347,0.13972,0.80553,4.95635e-05,4.95635e-05,4.95635e-05
97,3403.05,0.13451,0.19512,0.86153,0.99456,0.9985,0.995,0.99374,0.13021,0.13723,0.8023,4.13168e-05,4.13168e-05,4.13168e-05
98,3439.09,0.13268,0.19274,0.86336,0.99571,0.99456,0.995,0.99409,0.12961,0.14149,0.8023,3.30701e-05,3.30701e-05,3.30701e-05
99,3473.23,0.13093,0.1909,0.85419,0.998,1,0.995,0.99436,0.12778,0.13388,0.80174,2.48234e-05,2.48234e-05,2.48234e-05
100,3507.11,0.13115,0.17534,0.85915,0.99797,1,0.995,0.99436,0.12565,0.13081,0.80044,1.65767e-05,1.65767e-05,1.65767e-05
